"Module Instance","Count","Local Count","Weightage","Local Weightage","Module Name","Source File","Line Number"
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.txc_axi_intf.u_cr_fifo_wrap2.ram_fifo.u_nx_fifo_ram_1r1w.fifo_ctrl,1,1,20,20,"nx_fifo_ctrl_ram_1r1w","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl_ram_1r1w.v",18
nx_fifo_ram_1r1w,1,0,20,0,"nx_fifo_ram_1r1w","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ram_1r1w.v",10
cr_fifo_wrap2,1,0,20,0,"cr_fifo_wrap2","/home/ibarry/Project-Zipline-master/rtl/common/fifo/cr_fifo_wrap2.v",39
cr_axi4s2_slv,1,0,20,0,"cr_axi4s2_slv","/home/ibarry/Project-Zipline-master/rtl/common/cr_tlvp/cr_axi4s2_slv.v",37
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.drng.drng.rnd_fifo.std_fifo.depth_n.fifo_ctrl,4,4,80,80,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,4,0,80,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,4,0,80,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
cr_kme_aes_256_drng,4,0,80,0,"cr_kme_aes_256_drng","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_aes_256_drng.v",18
cr_kme_drng,4,0,80,0,"cr_kme_drng","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_drng.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.ckv_pipeline.guid_stitcher.aux_cmd_fifo.std_fifo.depth_n.fifo_ctrl,6,6,120,120,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,6,0,120,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,6,0,120,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
cr_kme_guid_stitcher,6,0,120,0,"cr_kme_guid_stitcher","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_guid_stitcher.v",20
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.ckv_pipeline.tlv_parser.parser_fifo.std_fifo.depth_n.fifo_ctrl,3,3,60,60,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,3,0,60,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,3,0,60,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.ckv_pipeline.tlv_parser,181,178,3620,3560,"cr_kme_tlv_parser","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_tlv_parser.v",20
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.ckv_pipeline.kim_drng_reader,10,10,200,200,"cr_kme_kim_drng_reader","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_kim_drng_reader.v",19
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.ckv_pipeline.ckv_reader.ckv_data_fifo.std_fifo.depth_n.fifo_ctrl,3,3,60,60,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,3,0,60,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,3,0,60,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.ckv_pipeline.ckv_reader,11,8,220,160,"cr_kme_ckv_reader","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_ckv_reader.v",19
cr_kme_ckv_pipeline,208,0,4160,0,"cr_kme_ckv_pipeline","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_ckv_pipeline.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_encrypt_kop_fifo.ram_fifo.ram_fifo.u_nx_fifo_ram_1r1w.fifo_ctrl,1,1,20,20,"nx_fifo_ctrl_ram_1r1w","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl_ram_1r1w.v",18
nx_fifo_ram_1r1w,1,0,20,0,"nx_fifo_ram_1r1w","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ram_1r1w.v",10
cr_fifo_wrap2,1,0,20,0,"cr_fifo_wrap2","/home/ibarry/Project-Zipline-master/rtl/common/fifo/cr_fifo_wrap2.v",39
cr_kme_ram_fifo,1,0,20,0,"cr_kme_ram_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_ram_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_validate_kop_fifo.ram_fifo.ram_fifo.u_nx_fifo_ram_1r1w.fifo_ctrl,1,1,20,20,"nx_fifo_ctrl_ram_1r1w","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl_ram_1r1w.v",18
nx_fifo_ram_1r1w,1,0,20,0,"nx_fifo_ram_1r1w","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ram_1r1w.v",10
cr_fifo_wrap2,1,0,20,0,"cr_fifo_wrap2","/home/ibarry/Project-Zipline-master/rtl/common/fifo/cr_fifo_wrap2.v",39
cr_kme_ram_fifo,1,0,20,0,"cr_kme_ram_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_ram_fifo.v",18
